,timestamp,15min_traffic_count
220,2022-03-14 13:00:00,364
221,2022-03-14 13:15:00,329
222,2022-03-14 13:30:00,326
223,2022-03-14 13:45:00,347
224,2022-03-14 14:00:00,322
225,2022-03-14 14:15:00,321
226,2022-03-14 14:30:00,305
227,2022-03-14 14:45:00,350
228,2022-03-14 15:00:00,348
229,2022-03-14 15:15:00,384
230,2022-03-14 15:30:00,345
231,2022-03-14 15:45:00,384
232,2022-03-14 16:00:00,405
233,2022-03-14 16:15:00,387
234,2022-03-14 16:30:00,349
235,2022-03-14 16:45:00,325
236,2022-03-14 17:00:00,378
237,2022-03-14 17:15:00,431
238,2022-03-14 17:30:00,438
239,2022-03-14 17:45:00,399
240,2022-03-14 18:00:00,402
241,2022-03-14 18:15:00,427
242,2022-03-14 18:30:00,322
243,2022-03-14 18:45:00,312
244,2022-03-14 19:00:00,303
245,2022-03-14 19:15:00,280
246,2022-03-14 19:30:00,281
247,2022-03-14 19:45:00,248
248,2022-03-14 20:00:00,212
249,2022-03-14 20:15:00,220
250,2022-03-14 20:30:00,201
251,2022-03-14 20:45:00,174
252,2022-03-14 21:00:00,167
253,2022-03-14 21:15:00,174
254,2022-03-14 21:30:00,159
255,2022-03-14 21:45:00,155
256,2022-03-14 22:00:00,125
257,2022-03-14 22:15:00,128
258,2022-03-14 22:30:00,110
259,2022-03-14 22:45:00,125
260,2022-03-14 23:00:00,78
261,2022-03-14 23:15:00,85
262,2022-03-14 23:30:00,78
263,2022-03-14 23:45:00,81
288,2022-03-15 06:00:00,25
289,2022-03-15 06:15:00,51
290,2022-03-15 06:30:00,75
291,2022-03-15 06:45:00,131
292,2022-03-15 07:00:00,247
293,2022-03-15 07:15:00,443
294,2022-03-15 07:30:00,527
295,2022-03-15 07:45:00,598
296,2022-03-15 08:00:00,594
297,2022-03-15 08:15:00,602
298,2022-03-15 08:30:00,604
299,2022-03-15 08:45:00,560
300,2022-03-15 09:00:00,561
301,2022-03-15 09:15:00,401
302,2022-03-15 09:30:00,411
303,2022-03-15 09:45:00,418
304,2022-03-15 10:00:00,323
305,2022-03-15 10:15:00,294
306,2022-03-15 10:30:00,308
307,2022-03-15 10:45:00,295
308,2022-03-15 11:00:00,325
309,2022-03-15 11:15:00,273
310,2022-03-15 11:30:00,301
311,2022-03-15 11:45:00,314
312,2022-03-15 12:00:00,378
313,2022-03-15 12:15:00,385
314,2022-03-15 12:30:00,341
315,2022-03-15 12:45:00,319
316,2022-03-15 13:00:00,367
317,2022-03-15 13:15:00,359
318,2022-03-15 13:30:00,349
319,2022-03-15 13:45:00,384
320,2022-03-15 14:00:00,339
321,2022-03-15 14:15:00,330
322,2022-03-15 14:30:00,317
323,2022-03-15 14:45:00,326
324,2022-03-15 15:00:00,350
325,2022-03-15 15:15:00,371
326,2022-03-15 15:30:00,348
327,2022-03-15 15:45:00,360
328,2022-03-15 16:00:00,375
329,2022-03-15 16:15:00,401
330,2022-03-15 16:30:00,335
331,2022-03-15 16:45:00,316
332,2022-03-15 17:00:00,347
333,2022-03-15 17:15:00,409
334,2022-03-15 17:30:00,401
335,2022-03-15 17:45:00,420
336,2022-03-15 18:00:00,438
337,2022-03-15 18:15:00,408
338,2022-03-15 18:30:00,438
339,2022-03-15 18:45:00,345
340,2022-03-15 19:00:00,370
341,2022-03-15 19:15:00,330
342,2022-03-15 19:30:00,273
343,2022-03-15 19:45:00,295
344,2022-03-15 20:00:00,246
345,2022-03-15 20:15:00,183
346,2022-03-15 20:30:00,192
347,2022-03-15 20:45:00,166
348,2022-03-15 21:00:00,155
349,2022-03-15 21:15:00,169
350,2022-03-15 21:30:00,156
351,2022-03-15 21:45:00,171
352,2022-03-15 22:00:00,158
353,2022-03-15 22:15:00,134
354,2022-03-15 22:30:00,119
355,2022-03-15 22:45:00,97
356,2022-03-15 23:00:00,80
357,2022-03-15 23:15:00,68
358,2022-03-15 23:30:00,68
359,2022-03-15 23:45:00,57
384,2022-03-16 06:00:00,36
385,2022-03-16 06:15:00,58
386,2022-03-16 06:30:00,75
387,2022-03-16 06:45:00,142
388,2022-03-16 07:00:00,258
389,2022-03-16 07:15:00,405
390,2022-03-16 07:30:00,580
391,2022-03-16 07:45:00,652
392,2022-03-16 08:00:00,615
393,2022-03-16 08:15:00,620
394,2022-03-16 08:30:00,608
395,2022-03-16 08:45:00,552
396,2022-03-16 09:00:00,510
397,2022-03-16 09:15:00,533
398,2022-03-16 09:30:00,431
399,2022-03-16 09:45:00,421
400,2022-03-16 10:00:00,399
401,2022-03-16 10:15:00,370
402,2022-03-16 10:30:00,363
403,2022-03-16 10:45:00,320
404,2022-03-16 11:00:00,279
405,2022-03-16 11:15:00,302
406,2022-03-16 11:30:00,346
407,2022-03-16 11:45:00,340
408,2022-03-16 12:00:00,353
409,2022-03-16 12:15:00,351
410,2022-03-16 12:30:00,353
411,2022-03-16 12:45:00,332
412,2022-03-16 13:00:00,347
416,2022-03-16 14:00:00,376
417,2022-03-16 14:15:00,342
418,2022-03-16 14:30:00,329
419,2022-03-16 14:45:00,326
420,2022-03-16 15:00:00,358
421,2022-03-16 15:15:00,398
422,2022-03-16 15:30:00,332
423,2022-03-16 15:45:00,333
424,2022-03-16 16:00:00,373
425,2022-03-16 16:15:00,431
426,2022-03-16 16:30:00,372
427,2022-03-16 16:45:00,384
428,2022-03-16 17:00:00,377
429,2022-03-16 17:15:00,423
430,2022-03-16 17:30:00,351
431,2022-03-16 17:45:00,359
432,2022-03-16 18:00:00,374
433,2022-03-16 18:15:00,397
434,2022-03-16 18:30:00,357
435,2022-03-16 18:45:00,378
436,2022-03-16 19:00:00,373
437,2022-03-16 19:15:00,323
438,2022-03-16 19:30:00,304
439,2022-03-16 19:45:00,264
440,2022-03-16 20:00:00,237
441,2022-03-16 20:15:00,254
442,2022-03-16 20:30:00,213
443,2022-03-16 20:45:00,204
444,2022-03-16 21:00:00,193
445,2022-03-16 21:15:00,202
446,2022-03-16 21:30:00,168
447,2022-03-16 21:45:00,175
448,2022-03-16 22:00:00,137
449,2022-03-16 22:15:00,149
450,2022-03-16 22:30:00,130
451,2022-03-16 22:45:00,105
452,2022-03-16 23:00:00,92
453,2022-03-16 23:15:00,124
454,2022-03-16 23:30:00,83
455,2022-03-16 23:45:00,88
480,2022-03-17 06:00:00,19
481,2022-03-17 06:15:00,57
482,2022-03-17 06:30:00,79
483,2022-03-17 06:45:00,136
484,2022-03-17 07:00:00,223
485,2022-03-17 07:15:00,412
486,2022-03-17 07:30:00,501
487,2022-03-17 07:45:00,599
488,2022-03-17 08:00:00,599
489,2022-03-17 08:15:00,654
490,2022-03-17 08:30:00,647
491,2022-03-17 08:45:00,585
492,2022-03-17 09:00:00,515
493,2022-03-17 09:15:00,505
494,2022-03-17 09:30:00,379
495,2022-03-17 09:45:00,400
496,2022-03-17 10:00:00,380
497,2022-03-17 10:15:00,339
498,2022-03-17 10:30:00,341
499,2022-03-17 10:45:00,295
500,2022-03-17 11:00:00,286
